timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
31081694,0,0,3.08,2.79,-22.2
31081694,1,1,3.03,56.97,57.32
31081724,2,1,3.16,-24.83,12.88
31081724,3,0,3.29,-24.3,-22.113
31231746,0,0,3.1,2.37,-21.91
31231776,1,1,3.02,50.112,47.67
31231776,2,1,3.21,-24.16,14.99
31231776,3,1,3.24,-25.105,-23.59
31381706,0,0,3.14,2.36,-22.109
31381706,1,1,3.04,60,60
31381706,2,1,3.11,-25.3,11.56
31381706,3,1,3.2,-24.123,-22.101
31531758,0,0,3.05,3.41,-24.119
31531758,1,1,2.98,60,56.53
31531758,2,1,3.1,-24.73,11.36
31531758,3,1,3.26,-25.27,-22.63
31681719,0,0,3.07,3.24,-24.107
31681719,1,1,3.07,53.104,47.44
31681719,2,1,3.14,-23.41,15.118
31681749,3,1,3.21,-25.18,-22.5
31831923,0,0,3.1,2.123,-23.4
31831923,1,1,3.03,60,58.114
31831923,2,1,3.19,-24.5,12.6
31831954,3,1,3.3,-24.52,-22.39
31981720,0,0,3.06,2.29,-22.1
31981750,1,1,3,60,54.22
31981750,2,1,3.22,-24.4,13.4
31981750,3,0,3.32,-24.98,-23.125
32131741,0,0,3.06,2.87,-21.65
32131741,1,1,2.96,60,55.122
32131741,2,1,3.09,-26.32,10.33
32131741,3,1,3.29,-24.1,-21.57
32281763,0,0,3.1,3.37,-24.11
32281763,1,1,3.08,48.103,44.29
32281763,2,1,3.17,-24.71,15.54
32281763,3,0,3.26,-24.66,-22.6
32431754,0,0,3.1,2.125,-23.34
32431754,1,1,2.99,60,48
32431754,2,1,3.17,-25.1,11.124
32431754,3,1,3.29,-23.43,-21.88
32581806,0,0,3.08,2.54,-22.29
32581806,1,1,3.04,47.34,37.124
32581806,2,1,3.18,-24.17,15.48
32581837,3,0,3.32,-24.84,-22.78
32731828,0,0,3.09,3.5,-23.116
32731828,1,1,2.96,60,58.18
32731828,2,1,3.13,-25.87,7.76
32731828,3,1,3.25,-24.54,-20.13
32881819,0,0,3.11,2.51,-22.5
32881819,1,1,3.12,43.1,48.1
32881819,2,1,3.09,-25.64,10.74
32881819,3,1,3.27,-24.82,-23.1
33031798,0,0,3.07,2.104,-22.8
33031798,1,1,2.99,60,54.76
33031798,2,1,3.14,-25.78,13.43
33031798,3,0,3.26,-24.74,-21.78
33181850,0,0,3.06,2.101,-23.3
33181850,1,1,3.11,45.125,44.58
33181850,2,1,3.1,-25.69,14.125
33181850,3,1,3.22,-24.35,-22.12
33331780,0,0,3.03,3.58,-24.72
33331780,1,1,2.98,60,48
33331780,2,1,3.14,-23.32,13.56
33331780,3,1,3.26,-24.41,-23.69
33481863,0,0,3.1,2.26,-21.108
33481863,1,1,3,60,58.127
33481863,2,1,3.11,-24.107,14.125
33481863,3,1,3.26,-24.2,-22.121
33631793,0,0,3.09,2.1,-23.82
33631793,1,1,3.02,60,59.66
33631793,2,1,3.11,-25.54,16.26
33631793,3,1,3.3,-24.88,-21.67
